Close,Volume,Intra-day variation,Day of Week,Change,RSI (14),20-VWAP,Month,Day,BUY/NO_BUY 5=>15,QuoteDate,5 Day Profit,10 Day Profit,15 Day Profit,30 Day Profit
43.610001,391200,0.420002000000004,1,-0.479999000000007,39.6920008125187,44.5868195260731,3,6,-1,'2006-03-06',-0.01789,0.03875,0.05412,0.033707887326121
42.82,468800,0.619999,2,-0.790000999999997,35.0081357052548,44.4517884330693,3,7,1,'2006-03-07',0.04064,0.03737,0.06259,0.041569313404951
42.75,463500,0.639998999999996,3,-0.07,34.6183172257336,44.3505493758495,3,8,1,'2006-03-08',0.03532,0.04281,0.06550,0.042339204678363
41.98,562000,0.940002999999997,4,-0.770000000000003,30.5840406371889,44.1279568501425,3,9,1,'2006-03-09',0.07956,0.08933,0.06741,0.053835207241544
42.540001,509800,0.75,5,0.560001,36.3899250419689,44.0119230605143,3,10,1,'2006-03-10',0.08463,0.07922,0.05195,0.027268452579491
42.830002,451800,0.510002,1,0.290001000000004,39.2247807911555,43.9460533893291,3,13,1,'2006-03-13',0.05767,0.07331,0.03035,-0.004903175115425
44.560001,261700,1.710003,2,1.729999,52.7522663473772,43.9912506553445,3,14,-1,'2006-03-14',-0.00314,0.02110,0.00090,-0.025583549695163
44.259998,314700,0.610001000000004,3,-0.300002999999997,50.6469923152102,43.9794171963219,3,15,-1,'2006-03-15',0.00723,0.02915,0.05038,-0.037731542599708
45.32,718000,0.989997000000002,4,1.060002,57.1535089215447,44.0600357892926,3,16,-1,'2006-03-16',0.00905,-0.01125,0.01545,-0.064871999117388
46.139999,437800,0.829998000000003,5,0.819999000000003,61.3936911369412,44.146889583025,3,17,-1,'2006-03-17',-0.00498,-0.03013,-0.00780,-0.092327656964189
45.299999,592900,0.790001000000004,1,-0.840000000000003,55.3508120744059,44.2308029548006,3,20,-1,'2006-03-20',0.01479,-0.02583,-0.00022,-0.084988920198431
44.419998,111600,0.810001,2,-0.880001,49.8185837270996,44.2062258925947,3,21,-1,'2006-03-21',0.02431,0.00405,0.00900,-0.065736112820176
44.580002,120100,0.32,3,0.160004000000001,50.781822566773,44.1350155581326,3,22,-1,'2006-03-22',0.02176,0.04284,-0.00920,-0.076267425918913
45.73,908900,1.069999,4,1.149998,57.1484385061524,44.2603224651452,3,23,-1,'2006-03-23',-0.02012,0.00634,-0.04439,-0.073912136453094
45.91,568400,1.240002,5,0.18,58.0628509574933,44.3534617644117,3,24,-1,'2006-03-24',-0.02527,-0.00283,-0.05249,-0.091047702025703
